ID,System,TM,TMA,AverageTip,RST,RSI,RSE,Time,CorrectSteps,TriedSteps,Score
1013319,1,0.33,0.42,0.0,0.8,0.2,0.0,0.14,1.0,0.19,52
1021330,0,0.2,0.7,0.2,0.8,0.0,0.2,0.61,1.0,0.67,64
1021412,1,0.63,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.26,100
1021435,1,0.44,0.0,0.0,1.0,0.0,0.0,0.11,1.0,0.19,100
1021520,1,0.32,0.0,0.15,0.6,0.4,0.0,0.51,1.0,1.0,100
1021521,0,0.02,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.7,100
1023317,0,0.01,0.0,0.0,0.8,0.2,0.0,0.23,1.0,0.26,100
1031430,0,0.49,0.0,0.0,1.0,0.0,0.0,0.21,1.0,0.56,100
1031444,1,0.08,0.37,0.3,0.2,0.8,0.0,0.17,1.0,0.26,56
1033362,0,0.11,0.37,1.0,0.0,0.0,1.0,0.42,1.0,0.19,52
1041225,1,0.11,0.37,0.0,1.0,0.0,0.0,0.37,1.0,1.0,100
1041416,0,0.36,0.07,0.0,1.0,0.0,0.0,0.2,1.0,0.63,100
1041449,0,0.92,0.0,0.0,1.0,0.0,0.0,0.24,1.0,0.26,100
1041463,1,0.12,0.0,0.0,0.8,0.2,0.0,0.26,1.0,0.81,100
1041563,1,0.35,1.0,0.2,0.6,0.4,0.0,0.69,1.0,0.33,100
1041639,1,0.26,0.0,0.05,0.8,0.2,0.0,0.2,1.0,0.19,100
1042701,1,0.25,1.0,0.5,0.0,0.8,0.2,0.38,1.0,0.7,100
1043302,0,0.25,0.0,0.0,1.0,0.0,0.0,0.23,1.0,0.52,100
1043330,1,0.28,0.09,0.0,1.0,0.0,0.0,0.34,1.0,0.41,100
1043363,1,0.11,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.19,100
1051402,0,0.15,0.0,0.0,1.0,0.0,0.0,0.3,1.0,0.67,100
1051403,0,0.16,0.37,0.0,0.8,0.2,0.0,0.81,1.0,1.0,100
1051410,0,0.16,0.07,0.0,1.0,0.0,0.0,0.14,1.0,0.26,100
1051415,0,0.17,0.0,0.7,0.0,0.4,0.6,0.38,1.0,0.41,100
1051417,1,0.29,1.0,0.15,1.0,0.0,0.0,0.83,0.2,1.0,84
1051419,0,0.11,0.14,0.0,0.8,0.2,0.0,0.21,1.0,0.19,100
1051421,0,0.2,0.0,0.0,1.0,0.0,0.0,0.45,1.0,0.85,100
1051425,1,0.04,0.0,0.95,0.0,0.2,0.8,0.33,1.0,1.0,100
1051438,1,0.12,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.19,100
1051439,1,0.32,0.0,0.05,0.8,0.2,0.0,0.23,1.0,0.19,100
1051443,0,0.74,1.0,0.0,1.0,0.0,0.0,0.19,1.0,0.22,100
1051444,0,0.73,0.0,0.0,1.0,0.0,0.0,0.18,1.0,0.19,100
1051445,1,0.48,0.0,0.4,0.6,0.0,0.4,0.21,1.0,0.26,72
1051448,0,0.02,0.0,0.1,0.8,0.2,0.0,0.2,1.0,0.52,100
1051450,1,0.02,1.0,0.0,1.0,0.0,0.0,0.58,1.0,1.0,96
1051453,0,0.36,0.0,0.55,0.0,0.8,0.2,0.48,1.0,0.85,88
1051455,1,0.29,0.0,0.2,0.8,0.0,0.2,0.24,1.0,0.26,100
1051502,1,0.23,0.81,0.0,1.0,0.0,0.0,0.24,1.0,0.19,100
1051503,1,0.58,1.0,0.0,1.0,0.0,0.0,0.45,1.0,0.19,100
1051507,1,0.05,0.14,0.1,0.6,0.4,0.0,0.19,1.0,0.26,100
1051515,1,0.43,0.07,0.15,0.8,0.2,0.0,0.18,1.0,0.67,100
1051528,0,0.33,1.0,0.0,1.0,0.0,0.0,0.15,1.0,0.33,100
1051533,0,0.47,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.19,100
1051535,0,1.0,0.77,0.2,0.6,0.4,0.0,0.53,1.0,1.0,100
1051539,0,0.2,0.0,0.0,1.0,0.0,0.0,0.43,1.0,0.37,56
1051540,1,0.28,0.0,0.0,1.0,0.0,0.0,0.13,1.0,0.19,100
1051542,1,0.06,0.0,0.15,0.8,0.2,0.0,0.32,1.0,0.59,100
1051544,0,0.82,1.0,0.0,0.8,0.2,0.0,0.44,1.0,0.59,100
1051545,1,0.02,0.0,0.0,1.0,0.0,0.0,0.22,1.0,0.26,100
1051546,0,0.05,0.09,0.05,0.8,0.2,0.0,0.26,1.0,0.19,100
1051548,0,0.06,0.0,0.0,1.0,0.0,0.0,0.3,1.0,0.26,100
1053315,1,0.46,0.0,0.2,0.6,0.4,0.0,0.56,1.0,1.0,100
1053316,0,0.76,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.19,100
1053321,1,0.2,0.0,0.2,0.0,1.0,0.0,0.17,1.0,0.19,92
1053324,1,1.0,0.09,0.0,1.0,0.0,0.0,0.12,1.0,0.33,100
1053329,0,0.36,0.42,0.0,1.0,0.0,0.0,0.17,1.0,0.19,100
1053330,1,0.09,0.0,0.0,1.0,0.0,0.0,0.64,1.0,1.0,100
1053333,0,0.25,0.09,0.3,0.2,0.8,0.0,0.18,1.0,0.33,100
1053339,0,0.05,0.42,0.0,1.0,0.0,0.0,0.25,1.0,0.37,100
1053344,0,0.37,1.0,0.05,0.8,0.2,0.0,0.38,1.0,0.78,100
1053348,0,0.79,0.0,0.05,0.8,0.2,0.0,0.1,1.0,0.19,100
1013319,1,0.15,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,100
1021330,0,0.01,0.0,0.2,0.8,0.0,0.2,0.22,1.0,0.52,80
1021412,1,0.35,0.09,0.05,0.8,0.2,0.0,0.36,1.0,0.33,100
1021435,1,0.21,0.0,0.05,0.6,0.4,0.0,0.14,1.0,0.19,100
1023317,0,0.16,0.0,0.1,0.6,0.4,0.0,0.35,1.0,0.44,100
1031444,1,0.06,0.05,0.4,0.6,0.0,0.4,0.33,1.0,0.7,100
1033362,0,0.39,0.09,1.0,0.0,0.0,1.0,0.41,1.0,0.48,16
1041225,1,0.29,0.0,0.0,1.0,0.0,0.0,0.24,1.0,0.19,100
1041416,0,0.88,0.0,0.0,1.0,0.0,0.0,0.23,1.0,0.26,100
1041445,0,0.53,0.09,0.0,0.8,0.2,0.0,0.25,1.0,0.19,100
1041449,0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,100
1041563,1,0.77,0.0,1.0,0.0,0.0,1.0,0.56,1.0,0.89,40
1041639,1,0.02,0.09,0.15,0.6,0.4,0.0,0.34,1.0,0.48,92
1042701,1,1.0,0.0,0.5,0.2,0.4,0.4,0.45,1.0,0.52,100
1043330,1,0.05,0.0,0.1,0.8,0.2,0.0,0.29,1.0,0.63,100
1043363,1,0.47,0.0,0.1,0.8,0.2,0.0,0.39,1.0,0.85,40
1051402,0,0.22,0.12,0.0,1.0,0.0,0.0,0.43,1.0,0.85,0
1051403,0,0.05,0.05,0.0,1.0,0.0,0.0,0.37,1.0,1.0,100
1051405,0,0.01,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.19,100
1051410,0,0.04,0.19,0.0,1.0,0.0,0.0,0.28,1.0,0.52,100
1051421,0,0.21,0.0,0.2,0.6,0.4,0.0,0.52,1.0,1.0,60
1051425,1,0.04,0.0,0.4,0.6,0.0,0.4,0.44,1.0,0.93,100
1051438,1,0.01,0.42,0.4,0.2,0.8,0.0,0.5,1.0,0.56,96
1051439,1,0.29,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.19,100
1051443,0,0.92,0.21,0.0,1.0,0.0,0.0,0.63,1.0,1.0,100
1051444,0,0.5,0.12,0.0,0.8,0.2,0.0,1.0,1.0,0.26,100
1051450,1,0.12,0.35,0.2,0.33,0.67,0.0,1.0,0.6,1.0,92
1051453,0,0.6,0.0,0.2,0.0,1.0,0.0,0.13,1.0,0.19,100
1051455,1,0.02,0.0,0.35,0.6,0.2,0.2,0.27,1.0,0.41,100
1051502,1,0.03,0.0,0.15,0.8,0.2,0.0,0.26,1.0,0.19,100
1051503,1,0.46,0.0,0.2,0.8,0.0,0.2,0.51,1.0,0.41,96
1051507,1,0.04,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.26,100
1051528,0,0.01,0.0,0.15,0.8,0.2,0.0,0.11,1.0,0.19,100
1051533,0,0.04,0.0,0.0,1.0,0.0,0.0,0.32,1.0,0.56,100
1051535,0,0.12,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.26,100
1051539,0,0.07,0.0,0.0,1.0,0.0,0.0,0.32,1.0,0.19,100
1051540,1,0.01,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.19,100
1051542,1,0.09,0.0,0.05,0.6,0.4,0.0,0.27,1.0,0.41,100
1051544,0,0.38,0.0,0.35,0.6,0.2,0.2,0.7,1.0,1.0,40
1051546,0,0.09,0.0,0.1,0.6,0.4,0.0,0.7,1.0,1.0,100
1051548,0,0.08,0.0,0.35,0.2,0.6,0.2,0.26,1.0,0.33,100
1053316,0,0.36,0.0,0.25,0.6,0.4,0.0,0.3,1.0,1.0,100
1053321,1,0.47,0.0,0.2,0.2,0.8,0.0,0.2,1.0,0.26,100
1053324,1,0.13,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.19,36
1053329,0,0.45,0.0,0.15,0.8,0.2,0.0,0.26,1.0,0.19,100
1053330,1,0.11,0.0,0.1,0.6,0.4,0.0,0.36,1.0,0.56,100
1053333,0,0.04,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.33,100
1053339,0,1.0,0.0,0.2,0.8,0.0,0.2,0.49,1.0,0.78,100
1053348,0,0.3,0.0,0.05,0.8,0.2,0.0,0.14,1.0,0.19,100
1013319,1,0.06,0.0,0.0,0.8,0.2,0.0,0.18,1.0,0.19,100
1021412,1,0.73,0.0,0.0,0.8,0.2,0.0,0.28,1.0,0.19,100
1021435,1,0.23,0.02,0.05,0.6,0.4,0.0,0.17,1.0,0.19,100
1021520,1,0.79,0.02,0.7,0.0,0.4,0.6,0.3,1.0,0.7,100
1021521,0,0.01,0.0,0.0,1.0,0.0,0.0,0.34,1.0,0.19,100
1023317,0,0.02,0.0,0.0,1.0,0.0,0.0,0.46,1.0,0.26,80
1031444,1,0.09,0.19,0.8,0.2,0.0,0.8,0.25,1.0,0.48,100
1041225,1,0.86,0.0,0.0,0.8,0.2,0.0,0.25,1.0,0.19,100
1041416,0,0.72,0.0,0.0,1.0,0.0,0.0,0.29,1.0,0.19,92
1041445,0,0.54,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.19,100
1041449,0,0.07,0.0,0.05,0.8,0.2,0.0,0.38,1.0,0.19,100
1041563,1,1.0,0.0,0.55,0.0,0.6,0.4,0.39,1.0,0.26,100
1041639,1,0.01,0.0,0.4,0.2,0.8,0.0,0.49,1.0,0.48,100
1042701,1,0.64,0.0,0.35,0.2,0.6,0.2,0.34,1.0,0.33,100
1043363,1,0.64,0.0,0.0,0.8,0.2,0.0,0.23,1.0,0.19,0
1051402,0,1.0,0.0,0.0,1.0,0.0,0.0,0.3,1.0,0.26,100
1051403,0,0.51,0.07,0.0,1.0,0.0,0.0,0.51,1.0,0.96,100
1051405,0,0.01,0.0,0.1,0.8,0.2,0.0,0.52,1.0,0.59,36
1051410,0,0.07,0.0,0.0,0.8,0.2,0.0,0.48,1.0,0.96,100
1051417,1,0.01,0.0,0.55,0.2,0.6,0.2,0.77,1.0,0.48,100
1051419,0,0.25,0.07,0.45,0.4,0.2,0.4,0.45,1.0,0.19,36
1051421,0,0.56,0.0,0.0,1.0,0.0,0.0,0.58,1.0,0.78,100
1051425,1,0.01,0.0,0.4,0.4,0.4,0.2,0.2,1.0,0.26,100
1051438,1,0.12,0.0,0.25,0.0,1.0,0.0,0.32,1.0,0.26,72
1051443,0,0.33,0.0,0.0,1.0,0.0,0.0,0.2,1.0,0.19,100
1051444,0,1.0,0.0,0.0,0.8,0.2,0.0,0.72,1.0,0.63,100
1051450,1,0.01,0.05,0.35,0.5,0.0,0.5,0.96,0.4,0.56,76
1051453,0,0.05,0.0,0.55,0.0,0.6,0.4,0.38,1.0,0.48,100
1051455,1,0.01,0.0,0.8,0.2,0.0,0.8,0.52,1.0,0.56,100
1051502,1,0.02,0.0,0.0,1.0,0.0,0.0,0.13,1.0,0.19,100
1051503,1,0.98,0.0,0.45,0.2,0.6,0.2,0.57,1.0,0.37,76
1051507,1,0.05,0.0,0.05,0.6,0.4,0.0,0.46,1.0,0.19,100
1051515,1,0.02,0.0,0.3,0.2,0.8,0.0,0.43,1.0,0.74,100
1051540,1,0.02,0.0,0.2,0.8,0.0,0.2,0.47,1.0,0.81,100
1051542,1,0.01,0.0,0.1,0.8,0.2,0.0,0.47,1.0,0.63,100
1051544,0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.19,96
1051545,1,0.15,0.0,0.0,0.8,0.2,0.0,0.31,1.0,0.19,100
1051546,0,0.07,0.0,0.05,0.8,0.2,0.0,0.25,1.0,0.33,0
1053315,1,1.0,0.0,0.3,0.2,0.8,0.0,0.74,1.0,0.63,100
1053316,0,0.96,0.0,0.0,1.0,0.0,0.0,0.29,1.0,0.19,100
1053321,1,0.51,0.0,0.2,0.0,1.0,0.0,0.33,1.0,0.19,100
1053324,1,0.09,0.0,0.0,1.0,0.0,0.0,0.22,1.0,0.19,100
1053329,0,0.15,0.0,0.0,0.8,0.2,0.0,0.41,1.0,0.26,100
1053330,1,0.01,0.0,0.2,0.6,0.4,0.0,0.55,1.0,0.19,76
1053333,0,0.01,0.0,0.0,1.0,0.0,0.0,0.38,1.0,0.52,100
1053339,0,0.05,0.0,0.05,0.8,0.2,0.0,0.22,1.0,0.19,100
1053348,0,0.09,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.33,100
1013319,1,0.08,0.0,0.6,0.4,0.0,0.6,0.61,1.0,0.63,100
1021330,0,0.29,1.0,0.6,0.0,0.6,0.4,0.47,1.0,0.7,100
1021435,1,0.2,0.0,0.6,0.2,0.2,0.6,0.38,1.0,0.56,96
1021520,1,0.18,0.4,0.75,0.2,0.2,0.6,0.42,1.0,0.63,100
1023317,0,0.01,0.0,0.2,0.8,0.0,0.2,0.56,1.0,0.48,100
1031430,0,0.01,0.0,0.0,1.0,0.0,0.0,0.69,1.0,0.19,96
1031444,1,0.15,0.77,1.0,0.0,0.0,1.0,0.26,1.0,0.41,100
1033362,0,1.0,0.72,1.0,0.0,0.0,1.0,0.42,1.0,0.26,88
1041225,1,0.19,0.0,0.15,0.8,0.2,0.0,0.37,1.0,0.56,100
1041416,0,0.28,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.19,100
1041449,0,0.02,0.51,0.5,0.0,0.8,0.2,0.42,1.0,0.37,100
1041463,1,1.0,0.0,0.1,0.8,0.2,0.0,0.55,1.0,0.48,32
1041563,1,0.97,0.0,1.0,0.0,0.0,1.0,0.48,1.0,0.74,48
1041639,1,0.15,1.0,0.45,0.4,0.2,0.4,0.8,1.0,0.7,100
1042701,1,0.21,0.0,0.8,0.2,0.0,0.8,0.5,1.0,0.59,100
1043363,1,0.6,0.0,0.0,0.8,0.2,0.0,0.3,1.0,0.33,100
1051402,0,1.0,0.0,0.0,1.0,0.0,0.0,0.42,1.0,0.19,100
1051403,0,0.21,0.77,0.0,1.0,0.0,0.0,0.59,1.0,0.74,100
1051405,0,0.01,0.0,0.1,0.8,0.2,0.0,0.35,1.0,0.52,100
1051410,0,0.27,1.0,0.0,1.0,0.0,0.0,0.61,1.0,0.19,100
1051415,0,0.12,1.0,0.25,0.6,0.2,0.2,0.46,1.0,0.19,100
1051417,1,1.0,0.0,0.7,0.0,0.4,0.6,0.7,1.0,0.63,100
1051421,0,0.62,0.0,0.8,0.2,0.0,0.8,0.51,1.0,0.56,96
1051425,1,0.35,0.0,1.0,0.0,0.0,1.0,0.72,1.0,1.0,100
1051438,1,0.57,0.0,0.35,0.0,1.0,0.0,0.6,1.0,0.48,100
1051439,1,0.01,0.0,0.15,0.6,0.4,0.0,0.74,1.0,0.48,100
1051443,0,0.47,0.44,0.2,0.6,0.2,0.2,0.45,1.0,0.19,100
1051444,0,1.0,0.72,0.2,0.8,0.0,0.2,0.66,1.0,0.37,100
1051450,1,0.07,0.0,0.45,0.0,1.0,0.0,1.0,0.8,0.59,80
1051453,0,0.29,1.0,0.3,0.2,0.8,0.0,0.57,1.0,0.19,100
1051455,1,0.01,0.0,0.8,0.2,0.0,0.8,0.56,1.0,0.67,100
1051502,1,0.01,0.0,1.0,0.0,0.0,1.0,0.15,1.0,0.63,100
1051503,1,1.0,0.0,0.6,0.2,0.6,0.2,0.38,1.0,0.7,88
1051507,1,0.02,1.0,0.2,0.8,0.0,0.2,0.58,1.0,0.56,100
1051515,1,0.09,0.72,0.35,0.4,0.4,0.2,0.48,1.0,0.26,100
1051528,0,0.05,0.0,0.35,0.0,1.0,0.0,0.66,1.0,1.0,100
1051533,0,0.65,0.0,0.3,0.2,0.8,0.0,0.65,1.0,0.26,100
1051535,0,0.02,1.0,1.0,0.0,0.0,1.0,0.51,1.0,0.19,100
1051540,1,0.01,0.0,0.45,0.0,1.0,0.0,0.44,1.0,0.33,100
1051542,1,0.01,0.72,1.0,0.0,0.0,1.0,0.26,1.0,0.19,100
1051544,0,1.0,0.0,0.25,0.6,0.2,0.2,0.39,1.0,0.19,52
1051545,1,0.05,0.0,0.95,0.0,0.2,0.8,0.68,1.0,0.26,100
1051546,0,0.4,0.0,0.15,0.6,0.4,0.0,0.83,1.0,0.48,100
1051548,0,0.19,0.58,1.0,0.0,0.0,1.0,0.36,1.0,0.41,96
1053315,1,1.0,0.74,0.45,0.0,0.0,1.0,0.82,0.4,1.0,100
1053316,0,0.96,0.0,0.1,0.8,0.2,0.0,0.36,1.0,0.3,96
1053321,1,0.75,0.0,0.25,0.0,1.0,0.0,0.45,1.0,0.56,100
1053324,1,0.44,0.0,0.15,0.4,0.6,0.0,0.28,1.0,0.33,100
1053329,0,0.26,0.77,0.0,1.0,0.0,0.0,0.76,1.0,0.44,100
1053330,1,0.01,0.0,0.5,0.4,0.2,0.4,0.96,1.0,1.0,88
1053333,0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.7,100
1053339,0,0.02,0.0,0.8,0.2,0.0,0.8,0.46,1.0,0.3,100
1053348,0,0.58,0.0,0.0,0.8,0.2,0.0,0.71,1.0,0.78,100
1013319,1,0.17,0.0,0.15,0.8,0.2,0.0,0.38,1.0,0.19,100
1021412,1,0.7,0.0,0.0,1.0,0.0,0.0,0.59,1.0,0.19,100
1021435,1,0.15,0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.63,56
1021521,0,0.01,0.0,0.4,0.2,0.8,0.0,1.0,1.0,1.0,100
1023317,0,0.09,0.0,0.1,0.6,0.4,0.0,0.46,1.0,0.19,100
1031430,0,0.04,0.0,0.0,1.0,0.0,0.0,0.34,1.0,0.19,96
1031444,1,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.7,100
1033362,0,0.64,0.0,1.0,0.0,0.0,1.0,0.3,1.0,0.56,36
1041225,1,0.04,0.0,0.6,0.0,0.67,0.33,1.0,0.6,0.67,100
1041416,0,0.43,0.0,0.2,0.67,0.33,0.0,1.0,0.6,1.0,100
1041445,0,0.13,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.93,92
1041449,0,0.01,1.0,0.85,0.0,0.2,0.8,1.0,1.0,0.19,100
1041463,1,0.36,0.86,0.15,0.8,0.2,0.0,0.57,1.0,0.19,100
1041563,1,1.0,0.33,0.8,0.2,0.0,0.8,0.46,1.0,0.33,36
1041639,1,0.06,0.0,0.4,0.4,0.4,0.2,0.61,1.0,0.3,100
1042701,1,0.77,0.0,1.0,0.0,0.0,1.0,0.77,1.0,1.0,100
1043302,0,0.03,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,32
1043330,1,0.05,0.0,0.2,0.8,0.0,0.2,0.95,1.0,1.0,100
1043363,1,0.54,0.0,0.25,0.4,0.6,0.0,0.79,1.0,0.37,100
1051402,0,0.24,0.0,0.25,0.0,1.0,0.0,0.81,1.0,0.56,100
1051405,0,0.02,0.0,0.25,0.4,0.6,0.0,0.84,1.0,0.7,96
1051415,0,0.04,0.44,1.0,0.0,0.0,1.0,0.39,1.0,0.19,92
1051417,1,0.2,0.0,1.0,0.0,0.0,1.0,0.38,1.0,0.19,100
1051425,1,0.01,0.0,0.3,0.0,1.0,0.0,0.68,1.0,0.19,100
1051438,1,0.81,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.33,40
1051439,1,0.09,0.0,0.1,0.6,0.4,0.0,0.67,1.0,0.44,100
1051443,0,0.41,0.05,0.2,0.8,0.0,0.2,0.81,1.0,0.26,100
1051444,0,1.0,0.7,1.0,0.0,0.0,1.0,0.51,1.0,0.19,92
1051453,0,0.23,0.0,1.0,0.0,0.0,1.0,0.96,1.0,0.78,100
1051455,1,0.01,0.0,0.25,0.6,0.2,0.2,0.36,1.0,0.19,100
1051502,1,0.01,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.63,60
1051503,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.44,68
1051515,1,0.59,0.0,1.0,0.0,0.0,1.0,0.54,1.0,0.56,92
1051528,0,0.01,0.0,1.0,0.0,0.0,1.0,0.36,1.0,0.19,96
1051535,0,0.25,0.0,1.0,0.0,0.0,1.0,0.47,1.0,0.26,96
1051539,0,0.35,1.0,0.2,0.2,0.8,0.0,0.9,1.0,0.19,28
1051540,1,0.04,0.0,0.5,0.0,0.8,0.2,0.76,1.0,0.37,100
1051542,1,0.08,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.63,64
1051544,0,0.65,0.0,0.2,0.6,0.2,0.2,0.54,1.0,0.89,100
1051545,1,0.1,0.0,0.4,0.6,0.0,0.4,0.09,1.0,0.26,64
1051546,0,0.88,0.0,0.55,0.2,0.6,0.2,0.73,1.0,0.41,100
1051548,0,0.04,0.0,1.0,0.0,0.0,1.0,0.16,1.0,0.19,60
1053315,1,0.3,1.0,0.2,0.8,0.0,0.2,0.87,1.0,0.19,100
1053316,0,0.88,0.0,0.1,0.8,0.2,0.0,0.67,1.0,0.52,100
1053321,1,0.29,0.0,0.6,0.4,0.0,0.6,1.0,1.0,0.26,88
1053329,0,0.2,0.0,0.2,0.6,0.2,0.2,0.52,1.0,0.19,100
1053330,1,1.0,0.65,0.65,0.2,0.4,0.4,0.76,1.0,0.67,64
1053333,0,0.02,0.0,0.35,0.6,0.2,0.2,0.73,1.0,0.44,100
1053348,0,0.4,0.0,0.0,1.0,0.0,0.0,0.54,1.0,0.37,100
1013319,1,0.71,0.0,0.8,0.2,0.0,0.8,0.47,1.0,0.19,100
1021330,0,0.58,1.0,1.0,0.0,0.0,1.0,0.47,1.0,0.33,100
1021412,1,1.0,0.12,0.0,1.0,0.0,0.0,0.75,1.0,0.33,100
